Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50106051;D;D;D
50101493;C2;C2;D
50051307;D;D;D
50401866;D;D;D
50572482;D;D;D
50392034;C1;C1;C1
50060504;D;D;D
50519042;D;D;D
50732854;D;D;D
50667165;D;D;D
50662287;D;D;D
50100813;D;D;D
50495186;D;D;D
50115033;D;D;D
50791826;D;D;D
50618725;D;D;D
50096579;C2;C2;D
50101396;B1;B1;B2
50332198;D;D;D
50114525;D;D;D
50906119;D;D;D
50023788;C2;C2;C2
50019076;B2;B2;B2
50075901;C2;C1;C2
50187643;D;D;D
50001803;C2;C2;C2
50841602;D;D;D
50106054;D;D;D
50020863;C2;C2;C2
50511599;D;D;D
50405837;D;D;D
50678175;D;D;D
50090541;C2;C1;D
50071691;B2;B1;B1
50071688;B1;B1;B1
50534874;D;D;D
50081681;B2;C1;C2
50090446;D;D;D
50088511;D;D;D
50096581;D;D;D
50107960;D;D;D
50101395;D;D;D
50061329;D;C2;D
50447513;D;D;D
50011987;C1;B2;C1
50021030;D;D;D
50762559;D;D;D
50107961;C1;C1;C1
50585649;D;D;D
50016267;C1;C1;C1
50561359;D;D;D
50887815;D;D;D
50448498;D;D;D
50048830;D;D;D
50095918;D;D;D
50115028;D;D;D
50324594;D;D;D
50114011;D;D;D
50075902;D;D;D
50066831;D;D;D
50866303;D;D;D
50548387;D;D;D
50872982;D;D;D
50030784;D;D;D
50262203;D;D;D
50019079;D;D;D
50110564;D;D;D
50048623;B2;B2;B2
50028439;D;D;D
50039342;B1;B1;B1
50285203;D;D;D
50353551;D;D;D
50016343;D;D;D
50439138;D;D;D
50041860;C2;C2;C2
50084196;C1;C1;B2
50182137;D;D;D
50030786;D;D;D
50452797;D;D;D
50115976;D;D;D
50106545;C2;C2;D
50110565;C2;C2;D
50042357;D;D;D
50090616;C2;C2;D
50086901;D;D;D
50709852;D;D;D
50737791;D;D;D
50543253;D;D;D
50095543;D;D;D
50164317;D;D;D
50915576;D;D;D
50131796;D;D;D
50018594;D;D;D
50057100;A;B1;B1
50593773;D;D;D
50898086;D;D;D
50693972;D;D;D
50106059;B2;B2;C1
50019520;C2;C2;C2
50095542;D;D;D
50860607;D;D;D
50095125;C2;C1;D
50509896;D;D;D
50095126;D;D;D
50701576;D;D;D
50540513;D;D;D
50076313;C2;C1;D
50030790;C1;C1;C1
50202960;D;D;D
50856030;D;D;D
50101400;D;D;D
50379690;D;D;D
50018000;D;D;D
50447548;D;D;D
50909355;D;D;D
50664980;D;D;D
50331167;D;D;D
50061330;B1;B1;C1
50044294;D;D;D
50067644;B1;B1;B2
50017747;B2;B2;B2
50113225;D;D;D
50573276;D;D;D
50966340;D;D;D
50037693;D;D;D
50822993;D;D;D
50071698;B1;B1;B1
50071699;C1;B2;B2
50610252;D;D;D
50948083;D;C2;D
50253964;D;C2;D
50854186;D;D;D
50024557;D;D;D
50070142;D;D;D
50341588;D;D;D
50103872;D;D;D
50209922;D;D;D
50311697;D;D;D
50077868;D;D;D
50444395;D;D;D
50113226;D;D;D
50038545;D;D;D
50115856;D;D;D
50002256;D;D;D
50106064;C2;C1;C2
50095541;C2;C2;D
50092932;D;D;D
50113227;D;D;D
50779931;D;D;D
50622536;D;D;D
50021271;D;C2;D
50749617;D;D;D
50084197;D;D;D
50412450;D;D;D
50895893;D;D;D
50801988;D;D;D
50824198;D;D;D
50067645;D;C2;D
50086905;C2;C2;D
50715607;D;D;D
50030782;C2;C2;C2
50162233;D;D;D
50224727;D;D;D
50578480;D;C2;D
50068907;D;D;C2
50066392;D;C2;C2
50631756;D;D;D
50065829;C2;C1;C2
50155431;D;D;D
50001329;D;D;D
50110306;C2;C2;D
50913182;D;D;D
50106747;D;D;D
50796836;D;D;D
50629859;C2;C2;C2
50277138;D;D;D
50145169;D;D;D
50040660;D;D;D
50106740;D;D;D
50986538;D;D;D
50840339;D;D;D
50064360;B2;B1;B2
50226932;D;D;D
50079249;D;D;D
50657682;D;D;D
50156063;D;D;D
50107864;D;D;D
50084347;D;D;D
50820664;D;D;D
50014642;D;D;D
50019213;C2;B2;C2
50750933;D;D;D
50253638;D;D;D
50485830;D;D;D
50096702;D;D;D
50931792;D;D;D
50862960;D;D;D
50519530;D;D;D
50073676;B2;B2;C1
50077852;B2;B2;B2
50097531;D;D;D
50083962;D;D;D
50864904;D;D;D
50012218;C1;C1;C1
50100751;D;D;D
50103761;D;D;D
50064355;C2;C1;D
50064354;D;D;D
50056824;C2;C2;C2
50105836;D;D;D
50105837;D;D;D
50846930;D;D;D
50522515;D;D;D
50739689;D;D;D
50569775;D;D;D
50516434;D;C2;D
50109121;D;D;D
50362321;D;D;D
50473107;D;D;D
50073678;D;C1;C2
50003917;D;D;D
50915592;D;D;D
50352350;D;D;D
50755323;D;D;D
50740652;D;D;D
50467867;D;D;D
50570749;D;D;D
50570749;D;D;D
50182390;D;D;D
50083080;C1;B1;C1
50087046;D;D;D
50115167;D;D;D
50106746;D;D;D
50106739;D;D;D
50392085;D;D;D
50614460;D;D;D
50046616;C1;B2;C1
50590952;D;D;D
50704893;D;D;D
50015036;C2;C2;C2
50097185;D;D;D
50062300;C2;C1;D
50049648;C1;C1;C2
50481657;D;D;D
50068901;C1;B2;C2
50106744;D;D;D
50774131;D;D;D
50800701;D;D;D
50064338;D;D;D
50061644;B2;B2;C2
50104318;D;D;D
50094376;C2;C1;C2
50105835;C2;C2;D
50957007;D;D;D
50638416;D;D;D
50655566;D;D;D
50819720;D;D;D
50444468;D;D;D
50057615;C1;C1;C1
50010209;C2;C2;C2
50115165;C2;C1;C2
50107868;D;D;D
50238914;D;D;D
50166816;D;D;D
50378627;D;D;D
50107869;D;D;D
50107870;D;D;D
50043979;D;D;D
50043978;B1;B1;B2
50850164;D;D;D
50216902;D;D;D
50069826;D;D;D
50061646;C2;C2;C2
50300652;D;D;D
50814761;D;D;D
50079261;C1;C1;C2
50038199;C1;B2;C2
50919261;D;D;D
50104291;D;D;D
50100081;D;D;D
50099954;D;D;D
50088223;D;D;D
50068893;D;D;D
50016874;C2;C2;C2
50004693;D;D;D
50889192;D;D;D
50208837;D;D;D
50846957;D;D;D
50007942;C1;C1;C2
50115163;D;D;D
50245562;D;D;D
50105839;D;D;D
50088225;D;D;D
50179519;D;D;D
50260979;D;D;D
50055995;C1;C1;D
50919253;D;D;D
50238507;D;D;D
50101906;C2;C2;D
50114040;C2;C2;D
50899147;D;D;D
50063785;C2;C2;D
50070064;C2;C2;D
50358138;D;D;D
50087692;C2;C2;D
50468456;D;D;D
50676032;D;D;D
50035431;D;C2;D
50112738;D;D;D
50157833;D;D;D
50041399;D;D;D
50077873;D;D;D
50525395;D;D;D
