Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50115534;C2;D;D
50116115;D;D;D
50789325;D;D;D
50661078;D;D;D
50082574;D;D;D
50109842;C2;C2;D
50115040;D;D;D
50009553;C2;C1;C2
50967770;D;D;D
50116116;D;D;D
50878670;D;D;D
50953591;D;D;D
50503065;D;D;D
50662066;D;D;D
50168134;D;D;D
50060136;C2;C1;C2
50110545;D;D;D
50109834;D;D;D
50109287;D;D;D
50300679;D;D;D
50469754;D;D;D
50109463;D;D;D
50719505;D;D;D
50897535;D;D;D
50183702;D;D;D
50114444;D;D;D
50031083;C2;C2;C2
50705458;D;D;D
50461702;D;D;D
50107202;C2;C2;C2
50109835;D;D;D
50066038;C1;C1;C2
50580272;D;D;D
50288083;D;D;D
50046666;D;D;D
50648462;D;D;D
50522663;D;D;D
50716107;D;D;D
50064165;C2;C2;C2
50109836;D;D;D
50800914;D;D;D
50097674;D;D;D
50115041;D;D;D
50100259;D;D;D
50466259;D;D;D
50082709;D;C2;C1
50098159;D;D;D
50665839;D;D;D
50061746;D;D;D
50362429;D;D;D
50105314;D;D;D
50049893;D;D;D
50087214;D;D;D
50028097;D;D;D
50108189;D;D;D
50126148;D;D;D
50098841;D;D;D
50116108;D;D;D
50057681;C2;C1;D
50885863;D;D;D
50012665;C2;C2;D
50088489;C2;C2;C2
50367870;C1;C2;D
50298895;D;D;D
50747649;D;D;D
50081662;C2;C1;D
50109289;D;D;D
50109905;D;D;D
50098158;D;D;D
50114472;D;D;D
50069485;B1;B2;C1
50105315;D;D;D
50109290;D;D;D
50244469;D;D;D
50109291;D;D;D
50938789;D;D;D
50542079;D;D;D
50530798;D;D;D
50000320;D;D;D
50105316;D;D;D
50463225;D;D;D
50954644;D;D;D
50960164;D;D;D
50763490;D;D;D
50057680;B2;B1;B2
50101339;C1;C2;D
50094264;D;D;D
50363484;D;D;D
50684876;D;D;D
50730681;D;D;D
50000298;C2;C2;C2
50057927;B2;B2;C1
50776967;D;D;D
50114904;D;D;D
50759418;D;D;D
50109845;D;D;D
50047846;D;D;D
50109465;D;D;D
50795775;D;D;D
50109661;D;D;D
50028466;C2;C1;D
50845586;D;D;D
50103580;D;D;D
50000301;D;D;D
50463489;D;D;D
50077749;D;D;D
50082725;D;D;D
50041663;D;D;D
50111145;D;D;D
50061212;C2;C2;D
50062611;D;C1;D
50000304;D;D;D
50453254;D;D;D
50907050;D;D;D
50044750;D;D;D
50100218;C2;C2;D
50033091;D;D;D
50912887;D;D;D
50027605;D;D;D
50403028;D;D;D
50108729;D;D;D
50105317;C2;C2;C1
50073078;C2;D;C2
50093137;C2;C2;C2
50081668;B1;B2;B2
50068550;C2;C2;C2
50089998;D;D;D
50082726;C2;C2;C2
50076793;C2;C1;C2
50100530;B2;B2;C1
50626485;D;D;D
50273000;D;D;D
50114446;D;D;D
50852833;D;D;D
50056631;D;D;D
50708600;D;D;D
50299603;D;D;D
50037425;D;D;D
50073861;D;D;D
50067906;C2;C2;D
50052369;D;D;D
50067481;D;D;D
50520792;D;D;D
50035198;B2;B2;C1
50114447;D;D;D
50252496;D;D;D
50010056;C2;C2;D
50036331;D;D;D
50025150;D;C2;D
50043050;C2;C2;D
50070408;C1;C1;D
50785141;D;D;D
50130757;D;D;D
50099169;C2;C2;C2
50082554;B2;C1;C1
50113449;D;D;D
50072283;C1;C1;C1
50454781;D;D;D
50456474;D;D;D
50102692;D;D;D
50045807;D;D;D
50014178;D;D;D
50083250;D;D;D
50082729;D;D;D
50038025;C1;C1;C1
50034753;D;D;D
50805134;D;D;D
50039762;D;D;D
50111095;C2;C2;D
50289497;D;D;D
50002265;C2;C2;C2
50505785;D;D;D
50083012;D;D;D
50100221;D;D;D
50081740;B2;C1;C1
50027021;C2;C2;C2
50115043;D;D;D
50904191;D;D;D
50206958;D;D;D
50115044;D;D;D
50073862;D;D;D
50024136;C1;C1;C2
50050965;B2;B2;C1
50110576;D;D;D
50052121;C2;C2;C2
50002626;C2;C1;C2
50881825;D;D;D
50034748;C1;C1;C1
50056632;C2;D;D
50108179;D;D;D
50105622;D;D;D
50036997;C2;C2;D
50086135;D;D;D
50109648;D;D;D
50116109;D;D;D
50111099;D;D;D
50105095;D;C2;C2
50097515;D;D;D
50116093;D;D;D
50444670;D;D;D
50109616;D;D;D
50098482;D;D;D
50086414;D;D;D
50184628;D;D;D
50054786;D;D;D
50078317;D;D;D
50349902;D;D;D
50078325;D;D;D
50086417;D;D;D
50106692;D;D;D
50521128;D;D;D
50226738;D;D;D
50100031;D;D;D
50645692;D;D;D
50208640;D;D;D
50900307;D;D;D
50112780;D;D;D
50918141;D;D;D
50466631;D;D;D
50078795;D;D;D
50106693;D;D;D
50116092;D;D;D
50098897;D;D;D
50261177;D;D;D
50045050;D;D;D
50980378;D;D;D
50109760;D;D;D
50056256;D;D;D
50081039;D;D;D
50116091;D;D;D
50356577;D;D;D
50094507;D;D;D
50536842;D;D;D
50396978;D;D;D
50544624;D;D;D
50081633;D;D;D
50094509;D;D;D
50093941;D;D;D
50215949;D;D;D
50091388;D;D;D
50086413;D;D;D
50501569;D;D;D
50078311;D;D;D
50121782;D;D;D
50039561;D;D;D
50078594;D;D;D
50052320;D;D;D
50035895;D;D;D
50900986;D;D;D
50704109;D;D;D
50099011;C2;C2;D
50538802;D;D;D
50481878;D;D;D
50508679;D;D;D
50325159;D;D;D
50198300;D;D;D
50714805;D;D;D
50736647;D;D;D
50598872;D;D;D
50055775;C2;C2;D
50990462;D;D;D
50761226;D;D;D
50305271;D;D;D
50771949;D;D;D
50240064;D;D;D
50888544;D;D;D
50716204;D;D;D
50365673;D;D;D
50930079;D;D;D
50832301;D;D;D
50901540;D;D;D
50975749;D;D;D
50099005;C2;C2;D
50823361;D;D;D
50515446;D;D;D
50824414;D;D;D
50522035;D;D;D
50823353;D;D;D
50103286;D;D;D
50251902;D;D;D
50112591;D;D;D
50218190;D;D;D
50401440;D;D;D
50275011;D;D;D
50128620;D;D;D
50845861;D;D;D
50736914;D;D;D
50006962;B2;B2;B2
50094433;D;C2;D
50201867;D;D;D
50600206;D;D;D
50153927;D;D;D
50099006;C2;C2;D
50157280;D;D;D
50312391;D;D;D
50052362;D;D;D
50903993;D;D;D
50104558;D;D;D
50052107;D;C2;D
50070740;D;D;D
50760211;D;D;D
50643428;D;D;D
50886126;D;D;D
50202553;D;D;D
50731408;D;D;D
50609858;D;D;D
50727419;D;D;D
50749846;D;D;D
50111730;D;D;D
50037994;D;D;D
50111731;D;D;D
50025456;D;D;D
50018677;C2;C2;C2
50395785;D;D;D
50073003;C1;C1;C2
50087388;D;D;D
50024058;C2;C2;C2
50514636;D;D;D
50561243;D;D;D
50098624;B1;B2;B1
50071766;B2;B2;C2
50111733;D;D;D
50988441;D;D;D
50747304;D;D;D
50193090;D;D;D
50883097;D;D;D
50874438;D;D;D
50018676;C2;C2;C2
50994166;D;D;D
50098133;D;D;D
50007246;D;D;D
50663437;D;D;D
50055915;D;D;D
50480618;D;D;D
50065305;D;D;D
50050566;C2;C2;D
50326007;D;D;D
50052993;D;D;D
50014951;C2;C2;C2
50105983;D;D;D
50022388;C2;C2;C2
50071017;C2;C2;C2
50051934;C1;C1;C1
50086369;B1;B1;B2
50105984;D;D;D
50111737;D;D;D
50051933;B2;B2;B2
50747967;D;D;D
50067657;D;C2;D
50714031;D;D;D
50100933;D;D;D
50075975;D;D;D
50114900;D;D;D
50114901;D;D;D
50058207;C2;C2;D
50329537;D;D;D
50991922;C2;C1;D
50083659;D;D;D
50100934;D;D;D
50077845;D;D;D
50613502;D;D;D
50025695;D;D;D
50830171;D;D;D
50103365;D;D;D
50114918;C2;C2;C2
50505874;D;D;D
50285327;D;D;D
50609394;D;D;D
50893858;D;D;D
50516019;D;D;D
50574868;D;D;D
50079701;D;D;D
50025696;C2;C2;D
50081351;D;D;D
50972200;D;D;D
50683381;D;D;D
50253050;D;D;D
50048490;C1;B2;C1
50507257;D;D;D
50257579;D;D;D
50694804;D;D;D
50043049;D;C2;D
50086782;D;D;D
50353268;D;D;D
50154370;D;D;D
50111739;D;D;D
50017352;B2;C1;B2
50098146;D;D;D
50647075;D;D;D
50756257;D;D;D
50111724;D;D;D
50100652;D;D;D
50105981;D;D;D
50760467;D;D;D
50293060;D;D;D
50089318;D;D;D
50267434;D;D;D
50872958;D;D;D
50544551;D;D;D
50702874;D;D;D
50507915;D;D;D
50285645;D;D;D
50828924;D;D;D
50009331;D;D;D
50074506;D;D;D
50380907;D;D;D
50191012;D;D;D
50100651;D;D;D
50626426;D;D;D
50280325;D;D;D
50098145;D;D;D
50111742;D;D;D
50093423;D;D;D
50085231;D;D;D
50087383;B1;B1;C1
50042427;C2;C2;C2
50439979;D;D;D
50099876;D;D;D
50090243;C2;C1;C2
50907670;D;D;D
50927892;D;D;D
50103363;D;D;D
50974181;D;D;D
50796615;D;D;D
