Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50201433;D;D;D
50186590;D;D;D
50161350;D;D;D
50151754;D;D;D
50116758;D;D;D
50116757;D;D;D
50115949;D;D;D
50114100;D;D;D
50114079;D;D;D
50114078;D;D;D
50113612;D;D;D
50111244;D;D;D
50111204;D;D;D
50110327;D;D;D
50109555;D;D;D
50109553;D;D;D
50109424;D;D;D
50109423;D;D;D
50109422;D;D;D
50109420;D;D;D
50109419;D;D;D
50109378;D;D;D
50109369;D;D;D
50109368;C2;C2;D
50109366;D;D;D
50109365;D;D;D
50109363;D;D;D
50109362;D;C2;D
50109361;D;D;D
50109360;D;D;D
50109359;D;C2;D
50109358;D;D;D
50109354;D;D;D
50109353;D;D;D
50109351;D;D;D
50109349;D;D;D
50109346;D;D;D
50109345;D;D;D
50109344;D;D;D
50109342;D;D;D
50109341;D;D;D
50109339;D;D;D
50109338;D;D;D
50109337;D;D;D
50109336;D;D;D
50109334;D;D;D
50109333;D;D;D
50109332;D;D;D
50109110;C2;C1;D
50109109;D;C1;D
50109108;D;D;D
50109107;D;D;D
50109106;D;C2;D
50109105;D;D;D
50109104;C2;C2;D
50109103;D;C1;D
50109102;C2;C2;D
50109101;C2;C2;D
50109100;C2;C1;D
50109099;C2;C1;D
50089816;C2;C2;D
50074952;D;D;D
50047448;D;D;D
50029900;D;D;D
50999184;D;D;D
50988875;D;D;D
50972219;D;D;D
50967991;D;D;D
50901508;D;D;D
50895672;D;D;D
50860003;D;D;D
50858823;D;D;D
50852590;D;D;D
50843141;D;D;D
50808141;D;D;D
50798863;D;D;D
50796348;D;D;D
50790129;D;D;D
50789252;D;D;D
50776274;D;D;D
50758136;D;D;D
50752170;D;D;D
50751069;D;D;D
50739395;D;D;D
50733915;D;D;D
50732471;D;D;D
50723758;D;D;D
50718002;D;D;D
50700189;D;D;D
50688057;D;D;D
50603515;D;D;D
50596136;D;D;D
50561189;D;D;D
50547399;D;D;D
50508164;D;D;D
50477633;D;D;D
50471201;D;D;D
50444689;D;D;D
50434667;D;D;D
50430742;D;D;D
50413007;D;D;D
50404334;D;D;D
50396404;D;D;D
50383566;D;D;D
50343947;D;D;D
50340018;D;D;D
50337629;D;D;D
50312928;D;D;D
50289896;D;D;D
50286404;D;D;D
50283057;D;D;D
50258494;D;D;D
50228102;D;D;D
50190237;D;D;D
50161288;D;D;D
50142712;D;D;D
50131389;D;D;D
50116542;D;D;D
50114764;D;D;D
50114761;D;D;D
50114758;D;D;D
50113847;D;D;D
50113839;D;D;D
50112889;D;D;D
50112887;D;D;D
50112884;D;D;D
50112883;D;D;D
50112545;D;D;D
50112544;D;D;D
50111246;D;D;D
50111245;D;D;D
50110752;D;D;D
50110751;D;D;D
50109786;D;D;D
50109331;D;D;D
50109324;D;D;D
50108823;D;D;D
50107766;D;D;D
50107126;D;D;D
50106083;D;D;D
50105503;D;D;D
50104803;D;D;D
50104802;D;D;D
50101659;C2;C2;D
50101647;D;D;D
50100457;D;D;D
50100231;B1;B2;B2
50100223;D;D;D
50098372;D;D;D
50096498;D;D;D
50096495;D;D;D
50096005;D;D;D
50095842;D;D;D
50095841;D;D;D
50095029;D;D;D
50094561;D;D;D
50090246;C1;B1;C1
50089448;B2;C1;C2
50088763;D;D;D
50087762;C1;C2;D
50085316;B2;B2;C2
50085055;C2;C2;D
50085053;D;D;D
50085051;D;D;D
50084741;D;D;D
50080699;B1;B1;B1
50080408;C1;C1;D
50079731;D;D;D
50079541;B1;B1;C1
50079464;D;D;D
50078462;D;D;D
50075424;B2;C1;C1
50075423;D;D;D
50074980;D;D;D
50074979;D;D;D
50074266;D;D;D
50071508;D;D;D
50070809;D;D;D
50070805;D;D;D
50070366;D;D;D
50070364;D;D;D
50070363;D;D;D
50065929;D;D;D
50064417;C2;C2;C2
50063311;D;C2;D
50060793;B2;B2;C1
50058415;D;D;D
50057513;C2;C2;D
50054939;C1;B2;C2
50053351;C2;C2;C2
50052158;B2;B2;C2
50050536;D;D;D
50047937;C1;C1;C1
50047935;C1;C1;C1
50047706;D;D;D
50044440;C1;C1;C1
50044264;D;D;D
50043505;D;D;D
50042739;D;D;D
50042334;D;C2;D
50041917;D;D;D
50041916;D;D;D
50040948;D;D;D
50040945;D;D;D
50040944;C2;C2;C2
50040943;C2;C2;C2
50040940;D;D;D
50030736;D;D;D
50030663;D;D;D
50029284;C2;B2;C2
50027744;C2;C2;C2
50027737;C2;C2;C2
50020637;B2;B2;B2
50020634;D;D;D
50016240;B2;B2;B2
50014826;C1;C1;C1
50014824;C2;C2;C2
50014549;C2;C2;C2
50013172;B2;B2;B2
50012548;C1;C1;C1
50012544;B2;B2;C1
50011802;C2;C2;C2
50007961;C1;C1;C1
50007959;D;D;D
50007958;C2;C2;C2
50005508;D;D;D
50000365;B2;B2;B2
50911252;D;D;D
50725173;D;D;D
50722379;D;D;D
50703080;D;D;D
50618997;D;D;D
50594168;D;D;D
50591630;D;D;D
50545809;D;D;D
50537059;D;D;D
50194941;D;D;D
50191527;D;D;D
50111390;C2;D;C2
50108899;D;D;D
50108898;D;D;D
50107569;D;D;D
50105112;C2;C2;D
50104570;D;D;D
50104569;D;D;D
50104246;D;D;D
50103495;C1;C1;D
50103494;C1;C1;D
50103219;C1;C1;D
50099986;B2;C1;C2
50099730;D;D;D
50098926;D;D;D
50097546;C1;D;C1
50095432;D;D;D
50094808;B1;B1;C1
50093800;D;D;D
50024835;D;D;C2
50000217;D;D;D
50999494;D;D;D
50990683;D;D;D
50983865;D;D;D
50982982;D;D;D
50977512;D;D;D
50961373;D;D;D
50960644;D;D;D
50933310;D;D;D
50914499;D;D;D
50874845;D;D;D
50864920;D;D;D
50860844;D;D;D
50830708;D;D;D
50830546;D;D;D
50826921;D;D;D
50818414;D;D;D
50794639;D;D;D
50781650;D;D;D
50688634;D;D;D
50688472;D;D;D
50686445;D;D;D
50667912;D;D;D
50590049;D;D;D
50575570;D;D;D
50567047;D;D;D
50550047;D;D;D
50529374;C2;C2;C1
50523597;D;D;D
50523341;D;D;D
50514121;C2;C2;C2
50491563;D;D;D
50481924;D;D;D
50461486;D;D;D
50458671;D;D;D
50454803;D;D;D
50448196;D;D;D
50436937;D;D;D
50436309;D;D;D
50413481;D;D;D
50390228;D;D;D
50387871;D;D;D
50376470;D;D;D
50368346;D;D;D
50315978;D;D;D
50303937;D;D;D
50293680;D;D;D
50275410;D;D;D
50241141;D;D;D
50237624;D;D;D
50209671;D;D;D
50205420;D;D;D
50190954;D;D;D
50179616;D;D;D
50173154;D;D;D
50138650;D;D;D
50128612;D;D;D
50125311;D;D;D
50116428;D;D;D
50116426;D;D;D
50116425;D;D;D
50116424;D;D;D
50116416;D;D;D
50116413;D;D;D
50116411;D;D;D
50113854;D;D;D
50113487;D;D;D
50113486;D;D;D
50113484;D;D;D
50112569;C2;C2;D
50112568;D;D;D
50110734;D;D;D
50110733;C2;C2;D
50110731;D;D;D
50110723;C2;C2;C2
50110722;C2;C2;C2
50109183;B2;C1;C2
50108401;C2;C2;D
50107383;C1;C2;D
50107379;D;D;D
50106208;C2;C2;D
50106194;D;D;D
50106193;D;D;D
50106192;D;D;D
50102325;C2;C2;C2
