Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50113153;D;D;D
50110708;D;D;D
50107608;D;D;D
50107605;D;D;D
50107600;D;D;D
50107598;D;D;D
50107555;D;D;D
50107552;D;D;D
50107546;D;D;D
50107543;D;D;D
50107539;D;D;D
50107536;D;D;D
50107535;D;D;D
50107534;D;D;D
50107526;D;D;D
50107524;D;D;D
50107523;D;D;D
50107522;D;D;D
50107521;D;D;D
50107367;D;D;D
50107366;D;D;D
50087235;D;D;D
50072771;D;D;D
50049322;D;D;D
50039134;D;D;D
50030476;D;D;D
50026655;D;D;D
50022398;C2;C2;C2
30097975;D;D;D
30095841;D;D;D
30094698;D;D;D
30094055;D;D;D
30092682;D;D;D
30090459;D;D;D
30090014;D;D;D
30089390;D;D;D
30089076;D;D;D
30089031;D;D;D
30088666;D;D;D
30088375;D;D;D
30087639;D;D;D
30085273;D;D;D
30083645;D;D;D
30082203;D;D;D
30081757;D;D;D
30079914;D;D;D
30079659;D;D;D
30078581;D;D;D
30078248;D;D;D
30077443;D;D;D
30075737;D;D;D
30075558;D;D;D
30075310;D;D;D
30073421;D;D;D
30072975;D;D;D
30071512;D;D;D
30071504;D;D;D
30069051;D;D;D
30068441;D;D;D
30067551;D;D;D
30067057;D;D;D
30067036;D;D;D
30065844;D;D;D
30065471;D;D;D
30063694;D;D;D
30060763;D;D;D
30060145;D;D;D
30060066;D;D;D
30059814;D;D;D
30059264;D;D;D
30058839;D;D;D
30058793;D;D;D
30058682;D;D;D
30058418;D;D;D
30058264;D;D;D
30058165;D;D;D
30058159;D;D;D
30058045;D;D;D
30057903;D;D;D
30057811;D;D;D
30057651;D;D;D
30057355;D;D;D
30057354;D;D;D
30056976;D;D;D
30055949;C2;C2;C1
30054141;D;D;D
30052665;D;D;D
30050456;D;C2;C2
30048917;D;D;D
30048171;D;D;C2
30047317;D;D;D
30046843;C2;C1;C2
30046842;C2;C1;C1
30044666;D;C2;C2
30044652;D;D;D
30044118;C2;D;C2
30035811;C2;C2;C2
30032622;D;D;D
30031804;B2;B2;B2
30030926;D;D;D
30029155;D;D;D
30029118;D;D;D
30025691;C2;C2;C2
30024713;D;D;D
30022350;C2;C2;C2
30021578;D;D;D
30020913;D;D;D
30012472;D;D;D
30009557;D;D;D
30009200;D;D;D
30008107;D;D;D
30007739;D;D;D
30007674;D;D;D
30005892;D;D;D
30003173;D;D;D
30001315;D;D;D
30000864;D;D;D
30000185;D;D;D
30000010;D;D;D
50095428;D;D;D
50081892;C1;C1;C1
30097884;D;D;D
30097020;D;D;D
30094985;D;D;D
30094844;D;D;D
30094393;D;D;D
30092973;D;D;D
30092581;D;D;D
30091930;D;D;D
30089951;D;D;D
30089725;D;D;D
30089410;D;D;D
30088299;D;D;D
30087777;D;D;D
30086291;D;D;D
30086222;D;D;D
30086019;D;D;D
30083176;D;D;D
30083106;D;D;D
30081741;D;D;D
30081398;D;D;D
30080760;D;D;D
30080036;D;D;D
30079786;D;D;D
30079101;D;D;D
30078490;D;D;D
30077803;D;D;D
30077057;D;D;D
30076845;D;D;D
30075588;D;D;D
30072181;D;D;D
30072034;D;D;D
30070840;D;D;D
30070503;D;D;D
30070439;D;D;D
30070371;D;D;D
30069486;D;D;D
30067922;D;D;D
30067695;D;D;D
30066999;D;D;D
30066319;D;D;D
30066026;D;D;D
30065172;D;D;D
30064208;D;D;D
30063531;D;D;D
30062930;D;D;D
30062047;D;D;D
30061644;D;D;D
30061488;D;D;D
30061431;D;D;D
30061114;D;D;D
30060498;D;D;D
30060294;D;D;D
30059810;D;D;D
30058052;D;D;D
30057664;D;D;D
30057050;D;D;D
30057049;D;D;D
30057046;D;D;D
30057039;D;D;D
30057036;D;D;D
30056261;D;D;D
